identifier	dna_number	gene_name	forward_primers	reverse_primers
SEQID00003874	0645	28S	D1	D33-
SEQID00005119	2307	18S	18SBI, 18SAI, 760F, 518S	909R, 18L
SEQID00005747	1655	28S	D1	D3
SEQID00001062	2334	CAD	806F3	C1129R
SEQID00000172	1201	WG	WG578F	WGABR
SEQID00005070	2197	28S	D1	D3
SEQID00005733	0958	28S	D1	D33
SEQID00001286	1746	28S	D1	D3
SEQID00000519	0969	28S	D1	D33-
SEQID00003620	3602	TOPO	TP675F	TP932R
SEQID00001893	0623	WG		
SEQID00004749	1444	28S	D1	D3
SEQID00003584	2056	CAD	CD806F, CD806F	1098R2, C1098R2
SEQID00003934	2082	CAD	CD821F, C1031F	1098R, 1098R2, C1231R, CD948R
SEQID00004802	2120	CAD	CD806F	C1098R2
SEQID00003159	2335	COI	LC1490	HC2198
SEQID00005040	1845	28S	D1	D3
SEQID00001207	2148	18S	760F, 18SAI, 18SBI, 518S	909R, 18L
SEQID00000419	2392	TOPO	TP675F	TP932R
SEQID00004520	1940	ARGK	AK270F	AK950R
SEQID00005921	0535	WG		
SEQID00003270	1374	18S		
SEQID00003856	2069	WG	WG578F	WGABR
SEQID00001258	1471	COI	B1490	BCOI2R
SEQID00002053	2213	28S	D1	D3
SEQID00001742	1069	CAD	CD439F	CD668R
SEQID00004486	2020	28S	D1	D3
SEQID00001578	2651	COI	B1490	BCOI2R
SEQID00003300	2326	WG	WG578F, WG550F	WGABRZ, WGABR
SEQID00004649	2846	ARGK	AK183F	AK933R
SEQID00005756	0974	28S	D1	D33-
SEQID00002146	0108	CAD	791F2, 338F, 581F4	1098R, 680R2, 843R
SEQID00003892	1401	WG	WG578F, WG578F, B5WG1	B3WG2, B3WG2, WGABR
SEQID00000125	1544	WG	WG550F, 5WGB	WGABRZ, 3WG2
SEQID00004819	2508	18S	18SBI, 760F, 518S, 18SAI	18L, 909R
SEQID00004528	2556	ARGK	AK183F	AK933R
SEQID00002414	2911	WG	WG578F	WGABR
SEQID00002099	1834	CAD	338F, 581F4, 791F2	1098R, 843R, 680R2
SEQID00000242	2840	CAD	CD806F	C1098R2
SEQID00006680	2326	CAD	CD806F, CD439F, CD806F	CD1098R2, CD668R, CD1098R2
SEQID00000036	1652	COI	B1490, JER	B2232, PAT
SEQID00000363	0530	WG	WG5, WG5	WG3
SEQID00005962	0558	WG		WGB, WG2
SEQID00005783	2304	CAD	CD806F, CD806F, CD439F	CD668R, CD1098R2, CD1098R2
SEQID00002321	2191	28S	D1	D3
SEQID00002386	2175	CAD	806F3	C1129R
SEQID00005553	2854	28S	NLF184, NLF184	D3AR, D3AR
SEQID00002528	1443	COI	B1490	BCOI2R
SEQID00003178	0893	18S	518S, 18SBI, 18SBI, 760F, 760F, 18SAI, 18SAI	18L, 18L, 909R, 18L, 18L
SEQID00000798	0399	18S		
SEQID00004917	1647	ARGK	AK270F	AK950R
SEQID00001153	3168	28S	NLF184	D3AR
SEQID00000175	2704	WG	WG550F	WGABRZ
SEQID00000804	2213	ARGK	AK270F	AK950R
SEQID00000624	2184	28S	D1	D3
SEQID00001500	1131	COI	JER, LC1490	HC2198, PAT
SEQID00003421	1841	28S	D1	D3
SEQID00006456	1657	WG	WGYF	WGABR
SEQID00006644	1399	CAD	791F2, CD439F, 806F, 806F	CD668R, 1098R, 1098RA, 1098R
SEQID00004812	2535	COI	LC1490	HC2198
SEQID00005253	1741	WG	WG578F, B5WG1	WGABR, B3WG2
SEQID00004193	0410	28S	D1	D33-
SEQID00001243	2859	CAD	CD439F, CD806F, CD806F	CD1098R2, CD668R, CD1098R2
SEQID00000199	3939	28S	NLF184, D1	D3, D3AR
SEQID00006460	1629	WG	WGYF	WGABR
SEQID00001468	1755	COI	LC1490	HC2198
SEQID00003096	2314	WG	WG550F	WGABRZ
SEQID00000104	2823	ARGK	AK183F	AK933R
SEQID00004227	0728	28S	D1	D33-
SEQID00004114	1397	ARGK	AK270F	AK950R
SEQID00001575	0745	28S	D1, D1	D33-, D33-
SEQID00004569	2316	PEPCK		
SEQID00004412	0730	WG	WG550F	WG2, WGB, WGABRZ
SEQID00002048	1833	28S	D1	D3
SEQID00003786	0814	28S	D1	D33
SEQID00005646	2265	WG	WG550F	WGABRZ
SEQID00005782	0635	28S	D1	D33-
SEQID00001105	1632	WG	WG578F	WGABR
SEQID00003551	2186	COI	JER, B1490	BCOI2R, PAT
SEQID00001776	1548	WG	B5WG1	B3WG2
SEQID00000083	2201	WG	WG578F, B5WG1	WGABR, B3WG2
SEQID00001216	0791	28S	D1	D33
SEQID00005002	3213	28S	D1	D3
SEQID00006566	0896	CAD	791F2	1098RA
SEQID00000041	2689	TOPO	TP675F	TP932R
SEQID00001580	2878	WG	WG578F	WGABR
SEQID00001165	1066	MSP	MSP2F	MSP1R
SEQID00006325	2894	CAD	CD806F, CD439F, CD806F	CD1098R2, CD1098R2, CD668R
SEQID00000762	1856	18S	518S, 18SBI, 760F, 18SAI	18L, 909R
SEQID00000957	0947	28S		
SEQID00002221	2875	ARGK	AK183F	AK933R
SEQID00000255	1218	CAD		
SEQID00006712	2570	COI	B1490	BCOI2R
SEQID00003546	1407	28S	D1	D3
SEQID00000450	1964	COI	LC1490	HC2198
SEQID00001230	1724	ARGK	AK270F	AK950R
SEQID00000697	1873	WG	WG578F	WGABR
SEQID00002406	1630	WG	B5WG1, WG578F	WGABR, B3WG2
SEQID00000197	2583	ARGK	AK183F	AK933R
SEQID00002621	2098	ARGK	AK270F	AK950R
SEQID00003236	2048	28S	D1	D3
SEQID00000194	1401	28S	D1	D3
SEQID00005846	0450	WG	WG1	WG2, WG2
SEQID00003380	2731	ARGK	AK183F	AK933R
SEQID00000843	0154	28S	D1	D33-, D3
SEQID00001471	0017	18S		
SEQID00003014	1431	MSP	MSP2F	MSP1R
SEQID00004451	0315	18S	760F, 18SAI, 18SBI, 518S	18L, 909R
SEQID00006120	2917	CAD	CD821F	C1098R2
SEQID00004662	1636	COI	JER, B1490	B2232, PAT
SEQID00003403	2457	28S	D1	D3
SEQID00006218	1781	28S	NLF184	D3AR
SEQID00000649	1276	CAD	338F, 581F4, 806F	1098R, 843R, 680R2
SEQID00004589	2037	CAD	CD806F	1098R2
SEQID00005217	1759	WG	WG578F	WGABR
SEQID00006055	2982	ARGK	AK183F	AK933R
SEQID00005005	1323	WG	B5WG1, WG578F	WGABR, B3WG2
SEQID00005491	1906	WG	WG578F	WGABR
SEQID00005361	2004	COI	LC1490	HC2198
SEQID00004807	1808	ARGK	AK183F	AK933R
SEQID00002156	1399	CAD	791F2, CD439F, 806F, 806F	CD668R, 1098R, 1098RA, 1098R
SEQID00003238	1295	WG	WG578F	WGABR
SEQID00003382	2927	CAD	CD806F, CD439F	CD688R, C1098R2
SEQID00005925	0678	CAD	CD439F, C806F3	CD668R, C1129R
SEQID00002846	2019	ARGK	AK183F	AK933R
SEQID00001896	1514	18S	1055F, 518S, 18SBI, 18SAI	519R, 18L
SEQID00001820	0999	28S		
SEQID00001197	2741	TOPO	TP675F	TP932R
SEQID00002680	0606	CAD	CD439F, CD806F, CD806F	CD1098R2, CD668R, CD1098R2
SEQID00005790	0319	28S	D1MOD	D33
SEQID00003924	1719	COI	B1490, JER	PAT, B2232
SEQID00006193	1840	POL2	PL859F	P1097R
SEQID00000992	2556	COI	B1490	BCOI2R
SEQID00001138	2973	28S	NLF184	D3AR
SEQID00005443	1704	CAD	806F	1098R
SEQID00002449	1727	WG	WG578F	WGABR
SEQID00005298	2356	COI	LC1490	HC2198
SEQID00004817	2379	18S	518S, 18SAI, 760F, 18SBI	18L, 909R
SEQID00003095	2368	WG	WG550F	WGABRZ
SEQID00003008	1688	28S	D1	D3
SEQID00000148	0670	MSP	MSP2F	MSP1R
SEQID00005605	1770	CAD	CD821F, CD439F, CD821F	CD1098R2, CD1098R2, CD668R
SEQID00002071	3812	18S	18SBI, 518S, 18SAI, 760F	909R, 18L
SEQID00001854	3089	TOPO	TP675F	TP932R
SEQID00003124	1077	TOPO		
SEQID00003144	2182	TOPO	TP675F	TP932R
SEQID00004445	4692	MSP	MSP2F	MSP1R
SEQID00003329	2658	COI	B1490, LC1490	BCOI2R, HC2198
SEQID00000580	1442	TOPO	TP675F	TP932R
SEQID00002679	3284	28S	NLF184	D3AR
SEQID00000231	2341	CAD	CD338F, CD439F	CD688R, CD668R
SEQID00003340	2837	TOPO	TP675F	TP932R
SEQID00001418	1552	COI	B1490, JER	B2232, PAT
SEQID00000509	2217	WG	WG550F	WGABRZ
SEQID00000139	1419	TOPO	TP675F	TP932R
SEQID00001208	1763	TOPO	TP675F	TP932R
SEQID00006272	1934	ARGK	AK270F	AK950R
SEQID00000351	0108	ARGK	AK270F	AK950R
SEQID00001358	2690	MSP	MSP2F	MSP1R
SEQID00000823	2298	COI	JER, B1490	PAT, BCOI2R
SEQID00002379	3242	28S	LS1F, D1	LS1R, D3L
SEQID00000062	3284	CAD	CD439F, CD806F	C1098R2, CD668R
SEQID00003515	0573	WG	WG5	WG3, WG3
SEQID00003351	1413	28S	D1	D3
SEQID00005511	2761	CAD	CD806F	1098R2
SEQID00005919	2148	COI	B1490	BCOI2R
SEQID00002397	1467	28S	D1, D1, LS1F	D3L, LS1R, D3
SEQID00003334	3718	28S	D1	D3
SEQID00004136	2066	18S	18SBI, 518S, 760F, 18SAI	909R, 18L
SEQID00004576	2883	WG	WG578F	WGABR
SEQID00002971	1711	TOPO	TP675F	TP932R
SEQID00000639	2890	MSP	MSP2F	MSP1R
SEQID00004518	0551	WG	WG550F	WGABRZ, WG2
SEQID00002114	1313	WG	WGYF	WGABR
SEQID00003561	2371	TOPO	TP675F, TP643F	TP932R, TP932R
SEQID00002931	2789	COI	B1490	BCOI2R
SEQID00002984	1340	TOPO	TP675F	TP932R
SEQID00001954	2491	28S	D1	D3
SEQID00002622	1424	TOPO	TP675F	TP932R
SEQID00002743	1633	COI	JER, JER	PAT, PAT
SEQID00004866	1751	WG	WG578F	WGABR
SEQID00004473	2158	COI	JER, B1490	PAT, PAT
SEQID00000780	1426	28S	D1, D1, D1	D3, D33, D3
SEQID00000378	2648	28S	NLF184, NLF184	D3AR, D3AR
SEQID00002657	2397	WG	WG578F	WGABR
SEQID00002908	2822	COI	LC1490	HC2198
SEQID00001424	1077	CAD	CD439F	CD668R
SEQID00000693	2866	WG	WG578F	WGABR
SEQID00004664	3247	CAD	CD806F	C1098R2
SEQID00006544	2141	18S	518S, 760F, 18SAI, 18SBI	909R, 18L
SEQID00006290	2846	WG	WG578F	WGABR
SEQID00000939	3636	28S	D1	D3
SEQID00004898	1929	18S	518S, 18SBI, 760F, 18SAI	909R, 18L
SEQID00000365	0479	WG		
SEQID00003532	1902	WG	WG578F	WGABR
SEQID00002465	1322	COI	LC1490	HC2198
SEQID00003511	1964	ARGK	AK270F	AK950R
SEQID00006398	1413	WG	WG578F	WGABR
SEQID00000189	1436	18S	18SBI, 18SAI, 518S, 760F	18L, 909R
SEQID00001693	2650	WG	WG550F	WGABRZ
SEQID00006347	1862	WG	WG578F	WGABR
SEQID00004981	3761	CAD	806F	1098R2
SEQID00000777	2172	COI	B1490	BCOI2R
SEQID00003692	1436	CAD	791F2	1098R
SEQID00004365	1544	ARGK	AK270F, AK270F, AK270F	AK830R, AK950R, AK950R
SEQID00005373	1516	28S	D1	D3
SEQID00000651	1692	WG	WG578F	WGABR
SEQID00000599	0761	WG	WG578F	WGABR
SEQID00002673	1772	CAD	CD439F, CD806F, CD806F	CD1098R2, CD668R, CD1098R2
SEQID00000001	2228	28S	D1, D1	D3, D3
SEQID00001326	2570	TOPO	TP675F	TP932R
SEQID00005094	0849	TOPO		
SEQID00002280	3516	WG	WG578F	WGABR
SEQID00004957	1421	CAD	791F2, CD439F	CD688R, 1098R
SEQID00003232	1687	CAD	806F	1098R
SEQID00006257	1545	28S	D1	D3
SEQID00005381	1766	18S	18SBI, 518S, 760F, 18SAI	909R, 18L
SEQID00004889	3774	CAD	806F	1098R2
SEQID00003112	2750	TOPO	TP675F	TP932R
SEQID00003631	2399	ARGK	AK168F	AK939R
SEQID00003681	1961	18S	18SAI, 760F, 18SBI, 518S	18L, 909R
SEQID00003074	2865	CAD	CD806F, CD439F, CD806F	CD1098R2, CD688R, CD1098R2
SEQID00003993	2082	TOPO	TP675F	TP932R
SEQID00006355	1693	COI	JER, B1490	BCOI2R, PAT
SEQID00000550	2874	MSP	MSP2F	MSP1R
SEQID00006051	1302	WG	WG578F	WGABR
SEQID00004787	3096	ARGK	AK183F	AK933R
SEQID00000748	2855	ARGK	AK183F, AK183F	AK933R, AK933R
SEQID00000575	3598	ARGK	AK183F	AK933R
SEQID00006736	2617	COI	LC1490	HC2198
SEQID00000609	0605	CAD	CD439F, CD821F, CD821F	CD1098R2, CD668R, CD1098R2
SEQID00000475	2052	TOPO	TP675F	TP932R
SEQID00006280	2249	TOPO		
SEQID00003167	2199	TOPO	TP675F	TP932R
SEQID00005575	3522	WG	WG578F	WGABR
SEQID00000626	0693	WG	WG1	WG2
SEQID00001140	1927	COI	B1490	BCOI2R
SEQID00004293	2145	COI	B1490	BCOI2R
SEQID00006591	1987	WG	WG578F	WGABR
SEQID00001963	1565	18S	518S, 760F, 18SAI, 518S, 18SAI	909R
SEQID00003443	0993	28S		
SEQID00003006	1304	COI		
SEQID00003946	1681	CAD	791F2	1098R
SEQID00002234	4691	MSP	MSP2F	MSP1R
SEQID00004080	4292	MSP	MSP2F	MSP1R
SEQID00004241	2894	MSP	MSP2F	MSP1R
SEQID00002080	2207	TOPO	TP675F	TP932R
SEQID00004744	2083	COI	LC1490	HC2198
SEQID00006691	1966	ARGK	AK270F	AK950R
SEQID00006735	2495	CAD	791F2	1098R2
SEQID00006763	3597	28S	D1	D3
SEQID00002335	1218	COI	B1490, JER, B1490	BCOI2R, PAT, HC2198
SEQID00002856	1433	COI	B1490	BCOI2R
SEQID00000859	0281	WG		WGB
SEQID00003725	0688	CAD		CD688R
SEQID00000871	2737	WG	WG550F	WGABRZ
SEQID00004341	1725	28S	D1	D3
SEQID00001659	1065	28S	D1	D33-
SEQID00004466	3079	WG	WG550F	WGABRZ
SEQID00006738	2975	TOPO	TP675F, TP675F	TP932R, TP932R
SEQID00002779	0918	28S	D1	D33-
SEQID00006693	3524	ARGK	AK183F	AK933R
SEQID00001817	2848	TOPO	TP675F	TP932R
SEQID00002768	2980	CAD	CD806F	C1098R2
SEQID00006517	1724	28S	D1	D3
SEQID00002056	1574	POL2	PL859F	P1097R
SEQID00001700	0606	28S	D1	D33-
SEQID00004628	1464	TOPO	TP675F	TP932R
SEQID00000260	2501	ARGK	AK168F	AK939R
SEQID00001104	1439	ARGK	AK270F	AK950R
SEQID00001170	2187	CAD	CD806F, CD439F, CD806F	CD1098R2, CD1098R2, CD668R
SEQID00003426	1170	COI	B1490, JER	PAT, BCOI2R
SEQID00004683	2020	CAD	CD821F	C1098R
SEQID00001767	1833	ARGK	AK270F	AK950R
SEQID00000209	1764	CAD	CD806F, CD806F, CD439F	CD668R, CD1098R2, CD1098R2
SEQID00003077	2673	CAD	806F	1098R2
SEQID00005382	2337	WG	WG550F	WGABRZ
SEQID00001297	3776	TOPO	TP675F	TP932R
SEQID00000353	2833	CAD	CD806F, CD439F, CD806F	CD668R, CD1098R2, CD1098R2
SEQID00006048	3071	WG	WG550F	WGABRZ
SEQID00002855	2100	CAD	CD806F	C1098R2
SEQID00003036	2326	CAD	CD806F, CD439F, CD806F	CD1098R2, CD668R, CD1098R2
SEQID00006115	1028	WG		WG2, WGB
SEQID00001885	2020	WG	WG578F	WGABR
SEQID00004254	2846	28S	D1, D1, LS1F	D3L, LS1R, D3
SEQID00003961	1455	COI	B1490	BCOI2R
SEQID00001822	1247	28S	NLF184, D1	D3, D3AR
SEQID00003821	2657	WG	WG550F	WGABRZ
SEQID00005378	2898	28S	NLF184	D3AR
SEQID00001115	1542	COI	B1490, JER	PAT, B2232
SEQID00002151	1935	ARGK	AK270F	AK950R
SEQID00001301	1602	POL2	PL859F	P1097R
SEQID00006695	3093	ARGK	AK183F, AK183F	AK933R, AK933R
SEQID00001605	1334	CAD	806F	1098R
SEQID00000373	2853	TOPO	TP643F, TP675F	TP932R, TP932R
SEQID00002395	2856	WG	WG578F, WG578F	WGABR, WGABR
SEQID00000910	1304	CAD	CD821F	C1098R
SEQID00000784	3983	WG		
SEQID00004282	1780	28S	NLF184	D3AR
SEQID00003244	1539	ARGK	AK270F	AK950R
SEQID00005989	1901	28S	D1	D3
SEQID00004730	1872	COI	B1490, JER	B2232, PAT
SEQID00005337	2342	28S	D1, NLF184	D3, D3AR
SEQID00004987	1619	COI	JER, JER	PAT, PAT
SEQID00001440	1969	CAD	806F	1098R
SEQID00006109	1453	TOPO	TP675F	TP932R
SEQID00002176	1832	WG	WG578F	WGABR
SEQID00004949	2793	WG	WG578F	WGABR
SEQID00001875	0686	28S	D1	D33-
SEQID00006244	2338	28S	D1	D3
SEQID00003693	1927	28S	D1	D3
SEQID00005826	2332	COI	LC1490	HC2198
SEQID00004814	1655	WG	WG578F	WGABR
SEQID00006232	1932	COI	B1490, B1490, LCO1490	BCOI2R, HCO2198, BCOI2R
SEQID00004435	0778	WG		WG2, WGB
SEQID00004718	2165	TOPO	TP675F	TP932R
SEQID00003115	1450	18S	760F, 518S, 760F, 18SBI, 518S, 18SAI	18L, 909R, 909R, 18L
SEQID00001966	2852	COI	B1490	BCOI2R
SEQID00005312	1401	CAD	791F2, CD338F, CD439F	1098R, CD688R, CD668R
SEQID00002024	3285	WG		
SEQID00000105	0606	CAD	CD439F, CD806F, CD806F	CD1098R2, CD668R, CD1098R2
SEQID00001166	2555	28S	NLF184	D3AR
SEQID00005226	1970	MSP	MSP2F	MSP1R
SEQID00004140	0647	WG		WG2, WG2, WGB
SEQID00001367	3249	CAD	CD439F, CD806F	CD668R, C1098R2
SEQID00001668	1211	COI	B1490, B1490, JER	PAT, B2232, B2232
SEQID00004822	1416	28S	D1, D1	D3, D33-
SEQID00005302	0097	18S		
SEQID00000414	1777	ENOLASE		
SEQID00003837	1575	18S	518S, 18SBI, 1055F, 18SAI	18L, 519R
SEQID00004515	2916	CAD	CD439F, CD806F	CD1098R2, CD668R
SEQID00004999	1817	18S	18SAI, 18SBI, 518S, 760F	909R, 18L
SEQID00006477	0346	18S		
SEQID00005204	2821	ARGK	AK183F	AK933R
SEQID00005728	1214	WG	WG578F, B5WG1	B3WG2, WGABR
SEQID00005236	1544	CAD	806F, 338F, 581F4	1098R, 843R, 680R2
SEQID00006521	1246	COI	B1490, JER	PAT, B2232
SEQID00005177	1440	CAD	791F2	1098R
SEQID00005666	2804	TOPO	TP675F	TP932R
SEQID00002097	2578	CAD	CD806F, CD439F, CD806F	CD1098R2, CD668R, CD1098R2
SEQID00002786	2848	CAD	CD806F	C1098R2
SEQID00004423	1429	COI	LC1490	HC2198
SEQID00003884	2887	CAD	CD806F, CD806F, CD439F	CD668R, CD1098R2, CD1098R2
SEQID00001884	3977	18S		
SEQID00004587	1664	COI	B1490, JER	PAT, B2232
SEQID00002745	2612	CAD	CD806F	C1098R2
SEQID00005798	2605	COI	LC1490	HC2198
SEQID00001773	1868	WG	WG578F	WGABR
SEQID00004592	1767	WG	WG578F, WG550F	WGABR, WGABRZ
SEQID00003161	2180	28S	D1	D3
SEQID00002241	1422	CAD	CD439F, 791F2	CD688R, 1098RA
SEQID00001313	3080	TOPO	TP675F	TP932R
SEQID00004062	0760	CAD	CD439F, CD806F, CD806F	CD668R, CD1098R2, CD1098R2
SEQID00003055	1896	18S	518S, 18SAI, 18SBI, 760F	18L, 909R
SEQID00000521	2098	28S	D1	D3
SEQID00002112	2933	ARGK	AK183F	AK933R
SEQID00000364	1475	MSP	MSP2F	MSP1R
SEQID00001653	2186	28S	D1	D3
SEQID00000018	2822	28S	D1	D3
SEQID00005286	0603	18S	18SAI, 518S, 760F, 18SBI	909R, 18L
SEQID00001432	0915	28S	D1	D33-
SEQID00004269	2782	WG	WG578F	WGABR
SEQID00001720	1402	COI	LC1490	HC2198
SEQID00001347	1995	COI	B1490	BCOI2R
SEQID00005722	1665	WG	WGYF	WGABR
SEQID00006226	1751	CAD	791F2	1098RA
SEQID00006166	2821	WG	WG578F	WGABR
SEQID00004888	0592	WG	WG5	WG3
SEQID00003367	0580	28S	D1	D33-
SEQID00005229	0616	18S		
SEQID00005205	2583	COI	LCO149	HCO219
SEQID00003277	0613	WG		
SEQID00006729	2219	WG	WG578F	WGABR
SEQID00000545	2585	TOPO	TP675F	TP932R
SEQID00002163	2701	ARGK	AK183F	AK933R
SEQID00001122	2199	18S	518S, 760F, 18SAI, 18SBI	909R, 18L
SEQID00005250	1691	WG	WG578F	WGABR
SEQID00003025	1279	WG	WG578F	WGABR
SEQID00004639	2166	CAD	CD806F	C1098R2
SEQID00004157	2068	COI	LC1490, B1490	HC2198, BCOI2R
SEQID00005211	2928	CAD	CD806F, CD439F, CD806F	C1098R2, C1098R2, CD668R
SEQID00004605	0678	18S	760F, 518S, 18SAI, 18SBI	909R, 18L
SEQID00005609	2762	CAD	CD806F	C1098R2
SEQID00001971	0339	28S	D1	D33-
SEQID00001648	2846	COI	B1490	BCOI2R
SEQID00005694	1877	COI	B1490, B1490, JER, B1490, JER	B2232, PAT, PAT, BCOI2R, BCOI2R
SEQID00001863	1988	CAD	CD439F, CD806F, CD806F	CD1098R2, CD668R, CD1098R2
SEQID00004063	0585	TOPO	TP675F	TP932R
SEQID00001681	2073	28S	D1	D3
SEQID00000986	2089	WG	WG578F	WGABR
SEQID00004089	2020	TOPO	TP675F	TP932R
SEQID00003770	0813	WG	WG578F	WGABR
SEQID00002533	1773	WG	B5WG1, WG578F, WG550F	WGABR, B3WG2, WGABRZ
SEQID00004142	1423	COI	LC1490	HC2198
SEQID00000226	1724	CAD	791F2	1098R
SEQID00006190	0604	28S	D1	D33-
SEQID00002952	0913	WG		WG2, WGB
SEQID00006594	1764	CAD	CD806F, CD806F, CD439F	CD668R, CD1098R2, CD1098R2
SEQID00003712	1704	WG	WG578F	WGABR
SEQID00004526	1396	TOPO	TP675F	TP932R
SEQID00003742	2660	WG	WG550F	WGABRZ
SEQID00005485	1539	ENOLASE		
SEQID00003617	2055	ARGK	AK183F	AK933R
SEQID00000564	2789	28S	D1, NLF184	D3AR, D3
SEQID00000470	3570	MSP	MSP2F	MSP1R
SEQID00005659	2864	28S	NLF184, NLF184	D3AR, D3AR
SEQID00003358	2578	CAD	CD806F, CD439F, CD806F	CD1098R2, CD668R, CD1098R2
SEQID00005794	1961	CAD	581F4, 338F, 791F2	1098RA, 680R2, 843R
SEQID00003758	2600	ARGK	AK168F	AK939R
SEQID00006441	2890	ARGK	AK183F	AK933R
SEQID00005316	2865	28S	NLF184, NLF184	D3AR, D3AR
SEQID00003001	2170	MSP	MSP2F	MSP1R
SEQID00000831	2786	28S	NLF184	D3AR
SEQID00005426	2846	CAD	CD806F	C1098R2
SEQID00002728	0723	ARGK	AK183F, AK183F	AK933R, AK933R
SEQID00005906	3916	CAD	CD806F	C1098R2
SEQID00005243	2938	COI	B1490	BCOI2R
SEQID00002566	1563	WG	WG578F	WGABR
SEQID00002536	2408	MSP	MSP2F	MSP1R
SEQID00003555	1967	WG	WGBALF, WG578F, WGBALF	WGBALR, WGBALR, WGABR
SEQID00004750	0595	28S	D1, D1	D3, D33-
SEQID00006372	2049	COI	B1490	BCOI2R
SEQID00002740	2661			
SEQID00006756	2138	ARGK	AK168F	AK939R
SEQID00004782	2066	MSP	MSP2F	MSP1R
SEQID00004029	2245	COI	LC1490	HC2198
SEQID00004037	1619	28S	D1	D3
SEQID00001212	0690	WG	WG1	WG2
SEQID00004756	1928	ARGK	AK270F	AK950R
SEQID00003560	0713	WG	WG1	WG2
SEQID00000732	2157	TOPO		
SEQID00004467	2440	ARGK	AK183F	AK933R
SEQID00005484	2140	28S	D1	D3
SEQID00003416	2276	18S		
SEQID00006063	1707	CAD	C806F3, CD439F, CD821F	CD668R, C1231R, C1129R
SEQID00004448	2236	CAD	806F	1098R
SEQID00006331	2199	COI	LC1490	HC2198
SEQID00002835	2792	28S	NLF184, D1	D3AR, D3
SEQID00000981	1864	28S	D1	D3
SEQID00002767	2604	COI	LCO1490	HCO2198
SEQID00006669	2496	CAD	791F2	1098R2
SEQID00004386	2831	MSP		
SEQID00000163	1566	28S	D1	D3
SEQID00002871	1543	CAD	791F2, 338F, CD821F, 581F4, 806F, C1031F	CD948R, 843R, 1098R, C1231R, 1098R, 680R2
SEQID00000665	2817	MSP	MSP2F	MSP1R
SEQID00005549	2245	CAD	806F	1098R
SEQID00002902	2731	COI	B1490	BCOI2R
SEQID00006268	2092	TOPO	TP675F	TP932R
SEQID00003401	1867	28S	D1	D3
SEQID00003974	3602	MSP	MSP2F	MSP1R
SEQID00006389	0372	28S	D1MOD, D1MOD, D1, D1	D3, D3-MOD, D3WM, D3
SEQID00005952	2831	TOPO		
SEQID00001320	0895	ARGK	AK270F, AK183F	AK950R, AK939R
SEQID00001247	2687	28S	D1	D3
SEQID00003328	3525	ARGK	AK183F	AK933R
SEQID00003644	0136	CAD	CD821F, CD439F, C1031F	C1231R, C1098R, CD688R
SEQID00001118	2141	TOPO	TP675F	TP932R
SEQID00006723	1843	28S	D1	D3
SEQID00005180	1508	CAD	338F, 791F2, 581F4	680R2, 1098R, 843R
SEQID00004676	2842	28S	D1	D3
SEQID00006718	2101	18S	760F, 18SAI, 18SBI, 518S	18L, 909R
SEQID00001156	2192	COI	JER, B1490	PAT, BCOI2R
SEQID00005032	1532	COI	B1490, JER	B2232, PAT
SEQID00004902	2737	COI	B1490	BCOI2R
SEQID00002306	1972	TOPO	TP675F	TP932R
SEQID00000824	2208	WG	WG578F	WGABR
SEQID00006421	2098	18S	18SAI, 760F, 518S, 18SBI	18L, 909R
SEQID00001724	0759	28S	D1, D1, D1	D33-, D33-, D33-
SEQID00004586	2055	TOPO	TP675F	TP932R
SEQID00006042	3609	MSP	MSP2F	MSP1R
SEQID00003651	0602	WG	WG5	WG3
SEQID00005439	2331	WG	WG550F	WGABRZ
SEQID00003544	2331	MSP	MSP2F	MSP1R
SEQID00001139	2173	28S	D1	D3
SEQID00000518	0161	28S	D1	D33-
SEQID00004788	2726	WG	WG578F	WGABR
SEQID00002654	0980	28S	D1	D33-
SEQID00005887	1464	18S	18SAI, 760F, 18SBI, 18SAI, 760F, 518S, 18SBI, 518S	909R, 18L, 909R, 18L
SEQID00001786	2648	18S	18SBI, 518S, 18SAI, 760F	909R, 18L
SEQID00003201	2790	TOPO	TP675F	TP932R
SEQID00001828	2920	CAD	CD806F	CD1098R2
SEQID00003157	1604	TOPO		
SEQID00004206	1912	CAD	CD806F	1098R2
SEQID00003843	0658	WG		WGB, WG2
SEQID00000785	1630	PEPCK	PK282F	PK485R
SEQID00003572	1470	COI	B1490, JER	B2232, PAT
SEQID00004567	2410	MSP	MSP2F	MSP1R
SEQID00005045	1323	CAD	338F, 581F4, 791F2	1098R, 843R, 680R2
SEQID00003900	1912	TOPO	TP675F	TP932R
SEQID00005463	3137	COI	B1490	BCOI2R
SEQID00006622	1419	ARGK	AK183F	AK933R
SEQID00000839	2269	ARGK	AK270F	AK950R
SEQID00002782	1214	POL2	PL859F	PL1097R
SEQID00001572	2180	COI	JER, B1490	BCOI2R, PAT
SEQID00000481	0473	WG		
SEQID00005077	1356	CAD	791F2	1098RA
SEQID00004752	1777	COI	LC1490	HC2198
SEQID00003966	0449	CAD	581F4, 338F, 806F	1098R, 680R2, 843R
SEQID00002688	2492	WG	WG550F	WGABRZ
SEQID00004296	0045	18S		
SEQID00000516	2503	CAD	CD806F	C1098R2
SEQID00003888	2791	COI	B1490	BCOI2R
